x    qcd_syst              qcd_syst_bin0       qcd_syst_bin1       qcd_syst_bin2        qcd_syst_bin3       qcd_syst_bin4       qcd_syst_bin5       qcd_syst_bin6       qcd_syst_bin7       qcd_syst_bin8
200  0.3459314797807649    0.04239974727431075 0.0                 0.0                  0.0                 0.0                 0.0                 0.0                 0.0                 0.0
220  0.18247746062507564   0.0                 0.03572300789982814 0.0                  0.0                 0.0                 0.0                 0.0                 0.0                 0.0
250  0.0674477245958569    0.0                 0.0                 0.035911203848490975 0.0                 0.0                 0.0                 0.0                 0.0                 0.0
280  0.025202003986923682  0.0                 0.0                 0.035911203848490975 0.0                 0.0                 0.0                 0.0                 0.0                 0.0
310  -0.01704371662200954  0.0                 0.0                 0.0                  0.04032185491642686 0.0                 0.0                 0.0                 0.0                 0.0
340  -0.02695158807264375  0.0                 0.0                 0.0                  0.04032185491642686 0.0                 0.0                 0.0                 0.0                 0.0
370  -0.03685945952327796  0.0                 0.0                 0.0                  0.0                 0.05420534667815495 0.0                 0.0                 0.0                 0.0
400  0.03662982899851691   0.0                 0.0                 0.0                  0.0                 0.05420534667815495 0.0                 0.0                 0.0                 0.0
430  0.11011911752031178   0.0                 0.0                 0.0                  0.0                 0.0                 0.08084427541121715 0.0                 0.0                 0.0
470  0.06260730802510017   0.0                 0.0                 0.0                  0.0                 0.0                 0.08084427541121715 0.0                 0.0                 0.0
510  0.015095498529888562  0.0                 0.0                 0.0                  0.0                 0.0                 0.0                 0.12782763261602437 0.0                 0.0
550  -0.11193814191914231  0.0                 0.0                 0.0                  0.0                 0.0                 0.0                 0.12782763261602437 0.0                 0.0
590  -0.23897178236817318  0.0                 0.0                 0.0                  0.0                 0.0                 0.0                 0.0                 0.18506633810815035 0.0
640  -0.16972292978172704  0.0                 0.0                 0.0                  0.0                 0.0                 0.0                 0.0                 0.18506633810815035 0.0
690  -0.10047407719528093  0.0                 0.0                 0.0                  0.0                 0.0                 0.0                 0.0                 0.0                 0.44212649939281146
740  -0.031225224608834812 0.0                 0.0                 0.0                  0.0                 0.0                 0.0                 0.0                 0.0                 0.44212649939281146
790  -0.031225224608834812 0.0                 0.0                 0.0                  0.0                 0.0                 0.0                 0.0                 0.0                 0.44212649939281146
840  -0.031225224608834812 0.0                 0.0                 0.0                  0.0                 0.0                 0.0                 0.0                 0.0                 0.44212649939281146
900  -0.031225224608834812 0.0                 0.0                 0.0                  0.0                 0.0                 0.0                 0.0                 0.0                 0.44212649939281146
960  -0.031225224608834812 0.0                 0.0                 0.0                  0.0                 0.0                 0.0                 0.0                 0.0                 0.44212649939281146
1020 -0.031225224608834812 0.0                 0.0                 0.0                  0.0                 0.0                 0.0                 0.0                 0.0                 0.44212649939281146
